tipo de dispositivo,numero de telefono,dispositivo asociado,correo electronico,nombre de dispositivo,visible
computadora portatil,,,correo01@correo.com,cp_01,si
tablet,,,correo01@correo.com,t_01,si
smartphone,5555-0001,,correo01@correo.com,s_01,si
smartwatch,,,correo01@correo.com,sw_01,si
auriculares,,sw_01,correo01@correo.com,a_01,si
computadora portatil,,,correo02@correo.com,cp_02,si
tablet,,,correo02@correo.com,t_02,si
smartphone,5555-0002,,correo02@correo.com,s_02,si
smartwatch,,,correo02@correo.com,sw_02,si
auriculares,,cp_02,correo02@correo.com,a_02,si
laptop,,,mafer.d@gmail.com,chocon_01,si
tablet,,,jdataeffm.d@gmail.com,tdavid_01,si
Computadora Portatil,,,umg@edu.com.gt,umglaptop,si
Tablet,,,tablet@gmail.com,tabletcasa,si
Tablet,,,tablet@gmail.com,tabletcasa,si
SmartWatch,,,watch@gmail.com,wathcasa,si
Tablet,,,tablet@gmail.com,tabletcasa,si
SmartWatch,,,watch@gmail.com,wathcasa,si
SmartPhone,13854,,phone@gmail.com,phonecasa,si

Auriculares inalambricos,13854,phonecasa,phone@gmail.com,mi audifonosony,si
Auriculares inalambricos,,wathcasa,watch@gmail.com,sony,si
Computadora Portatil,,,yoyo@gmail.com,micompu,si
